bank_account_key,sequence_id,category,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09
1117Brewer,1,Rent,3590.0,1795.0,1795.0,0.0,3590.0,0.0,0.0,5385.0,0.0,0.0,4015.0,3980.0,0.0,3773.25,0.0,1750.0,2286.0,2360.0,0.0,1335.0,0.0,0.0,1258.14,1782.5,1692.5,0.0,0.0,0.0,0.0,0.0,4118.14,0.0,0.0
1117Brewer,3,REVENUE,3590.0,1795.0,1795.0,0.0,3590.0,0.0,0.0,5385.0,0.0,0.0,4015.0,3980.0,0.0,3773.25,0.0,1750.0,2286.0,2360.0,0.0,1335.0,0.0,0.0,1258.14,1782.5,1692.5,0.0,0.0,0.0,0.0,0.0,4118.14,0.0,0.0
1117Brewer,4,Insurance,0.0,0.0,0.0,0.0,0.0,-1098.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1117Brewer,5,Taxes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4700.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4509.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1117Brewer,6,Repair,0.0,-420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1117Brewer,7,Management,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,0.0
1117Brewer,10,Professional Services,0.0,0.0,0.0,0.0,0.0,-1.3877787807814457e-17,0.0,0.0,-202.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.0,0.0,0.0,0.0,0.0
1117Brewer,14,EXPENSES,-75.0,-495.0,-75.0,-75.0,-75.0,-1173.0,-75.0,-75.0,-277.82,-75.0,-495.0,-4775.68,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-4584.34,-75.0,-75.0,-75.0,-75.0,-110.0,-75.0,-75.0,-75.0,0.0
1117Brewer,15,NET INCOME,3515.0,1300.0,1720.0,-75.0,3515.0,-1173.0,-75.0,5310.0,-277.82,-75.0,3520.0,-795.6800000000003,-75.0,3698.25,-75.0,1675.0,2211.0,2285.0,-75.0,1260.0,-75.0,-75.0,1183.14,-2801.84,1617.5,-75.0,-75.0,-75.0,-110.0,-75.0,4043.1400000000003,-75.0,0.0
1117Brewer,16,Mortgage Payments,-711.48,-711.48,-711.48,-711.48,-711.48,-711.48,-1422.96,-711.48,0.0,-711.48,-711.48,-711.48,-711.48,-746.48,-702.73,-711.48,-711.48,-711.48,-711.48,-711.48,-711.48,-711.48,-711.48,-711.48,-711.48,-711.48,-711.48,-711.48,-711.48,-711.48,-711.48,-711.48,0.0
1117Brewer,18,Transfers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1117Brewer,19,Owner Draw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0
1117Brewer,21,CASHFLOW,6322.14,6910.66,7919.18,7132.7,9936.22,8051.74,6553.78,11152.3,10874.48,10088.0,12896.52,1389.36,602.88,3554.65,2776.92,3740.44,5239.96,6813.48,6027.0,6575.52,5789.04,5002.56,5474.22,1960.9,2866.92,2080.44,1293.96,507.48,4686.0,3899.52,7231.18,6444.7,0.0
