bank_account_key,sequence_id,category,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09
114Sidney,1,Rent,3961.8,1550.0,1550.0,0.0,3100.0,1550.0,0.0,3245.0,0.0,0.0,3390.0,3390.0,0.0,3303.25,1695.0,1504.16,1770.0,1695.0,0.0,3250.0,0.0,485.0,0.0,2754.0,0.0,0.0,0.0,2864.95,1810.0,1510.0,1860.0,1644.72,0.0
114Sidney,3,REVENUE,3961.8,1550.0,1550.0,0.0,3100.0,1550.0,0.0,3245.0,0.0,0.0,3390.0,3390.0,0.0,3303.25,1695.0,1504.16,1770.0,1695.0,0.0,3250.0,0.0,485.0,0.0,2754.0,0.0,0.0,0.0,2864.95,1810.0,1510.0,1860.0,1644.72,0.0
114Sidney,5,Taxes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4643.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5037.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114Sidney,6,Repair,-304.81,-308.16,-129.08,-129.08,-334.15,-129.08,-129.08,-129.08,-129.08,-129.08,-129.07,-129.07,-1366.33,0.0,-450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114Sidney,7,Management,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114Sidney,10,Professional Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.3,0.0,0.0,0.0,-15.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114Sidney,14,EXPENSES,-379.81,-383.16,-204.08,-204.08,-409.15,-204.08,-204.08,-204.08,-232.38000000000002,-204.08,-204.07,-4847.78,-1456.33,-90.0,-525.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-5112.95,-75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114Sidney,15,NET INCOME,3581.9900000000002,1166.84,1345.92,-204.08,2690.85,1345.92,-204.08,3040.92,-232.38000000000002,-204.08,3185.93,-1457.7799999999997,-1456.33,3213.25,1170.0,1429.16,1695.0,1620.0,-75.0,3175.0,-75.0,410.0,-75.0,-2358.95,-75.0,0.0,0.0,2864.95,1810.0,1510.0,1860.0,1644.72,0.0
114Sidney,16,Mortgage Payments,0.0,-675.63,-1351.26,0.0,-675.63,-2026.8899999999999,-675.63,-675.63,-675.63,-675.63,-675.63,-675.63,-675.63,-675.63,-675.63,-675.63,-675.63,-675.63,-675.63,-675.63,-675.63,-675.63,-675.63,-675.63,-675.63,-675.63,-675.63,-675.63,-675.63,-675.63,-675.63,-675.63,0.0
114Sidney,19,Owner Draw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114Sidney,21,CASHFLOW,5654.69,6145.9,6140.56,5936.48,7951.7,7270.73,6391.02,8756.31,7848.3,6968.59,9478.89,3345.48,1213.52,3751.14,4245.51,4999.04,6018.41,6962.78,6212.15,8711.52,7960.89,7695.26,6944.63,3910.05,3159.42,2483.79,1808.16,3997.48,5131.85,5966.22,7150.59,8119.68,0.0
