bank_account_key,sequence_id,category,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09
116Meadow,1,Rent,1650.0,1650.0,1650.0,0.0,3200.0,1575.0,0.0,3400.0,0.0,0.0,3500.0,3155.0,0.0,3026.84,1750.0,1080.0,1750.0,1750.0,0.0,587.0,1850.0,150.0,1850.0,1541.0,2159.0,1850.0,0.0,3166.0,1850.0,99.0,1600.0,1900.0,0.0
116Meadow,3,REVENUE,1650.0,1650.0,1650.0,0.0,3200.0,1575.0,0.0,3400.0,0.0,0.0,3500.0,3155.0,0.0,3026.84,1750.0,1080.0,1750.0,1750.0,0.0,587.0,1850.0,150.0,1850.0,1541.0,2159.0,1850.0,0.0,3166.0,1850.0,99.0,1600.0,1900.0,0.0
116Meadow,4,Insurance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116Meadow,5,Taxes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5750.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6077.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116Meadow,6,Repair,0.0,0.0,0.0,-200.0,0.0,-145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116Meadow,7,Management,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,0.0
116Meadow,8,Utilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116Meadow,10,Professional Services,0.0,0.0,0.0,0.0,0.0,-103.0,0.0,0.0,-29.46,0.0,-1155.0,0.0,0.0,284.37,-294.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116Meadow,14,EXPENSES,-75.0,-75.0,-75.0,-275.0,-75.0,-323.0,-75.0,-75.0,-104.46000000000001,-75.0,-2409.0,-5825.35,-75.0,-90.63,-369.37,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-6152.19,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,0.0
116Meadow,15,NET INCOME,1575.0,1575.0,1575.0,-275.0,3125.0,1252.0,-75.0,3325.0,-104.46000000000001,-75.0,1091.0,-2670.3500000000004,-75.0,2936.21,1380.63,1005.0,1675.0,1675.0,-75.0,512.0,1775.0,75.0,1775.0,-4611.19,2084.0,1775.0,-75.0,3091.0,1775.0,24.0,1525.0,1825.0,0.0
116Meadow,16,Mortgage Payments,-456.02,-456.02,-456.02,-456.02,-456.02,-456.02,-456.02,-456.02,-456.02,-456.02,-456.02,-456.02,-456.02,-456.02,-456.02,-456.02,-456.02,-456.02,-456.02,-456.02,-456.02,-456.02,-456.02,-456.02,-456.02,-456.02,-456.02,-456.02,-456.02,-456.02,-456.02,-456.02,0.0
116Meadow,18,Transfers,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0,0.0,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0,0.0
116Meadow,19,Owner Draw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116Meadow,21,CASHFLOW,4140.7,5109.68,6078.66,5197.64,7716.62,8362.6,7681.58,10400.56,9690.08,9009.06,9494.04,1217.67,536.65,3016.84,3791.45,4190.43,5259.41,6328.39,5647.37,5553.35,6722.33,6191.31,7360.29,2143.08,3621.06,4790.04,4109.02,6594.0,7762.98,7180.96,8099.94,9318.92,0.0
