bank_account_key,sequence_id,category,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09
1316Rosemon,1,Rent,3190.0,3190.0,3190.0,0.0,6180.0,0.0,0.0,8499.08,0.0,0.0,6685.0,7061.240000000001,0.0,7155.46,5505.0,1649.2,5435.0,1795.0,0.0,4527.84,3676.73,3690.98,2479.0,3929.0,3929.0,3929.0,0.0,7633.0,3629.0,3878.0,3729.0,1883.52,0.0
1316Rosemon,3,REVENUE,3190.0,3190.0,3190.0,0.0,6180.0,0.0,0.0,8499.08,0.0,0.0,6685.0,7061.240000000001,0.0,7155.46,5505.0,1649.2,5435.0,1795.0,0.0,4527.84,3676.73,3690.98,2479.0,3929.0,3929.0,3929.0,0.0,7633.0,3629.0,3878.0,3729.0,1883.52,0.0
1316Rosemon,4,Insurance,-183.43,-183.43,-183.43,-183.43,-183.43,-183.43,-298.17,-284.53,-284.53,-284.53,-284.53,-284.53,-284.53,-284.53,-284.53,-284.53,-284.53,-284.53,-373.61,-356.49,-356.49,-356.49,-356.49,-356.49,-356.49,-356.49,-356.49,-356.49,-356.49,-356.49,-414.0,-395.0,0.0
1316Rosemon,5,Taxes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4392.299999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2604.4,-2335.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1316Rosemon,6,Repair,0.0,-577.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1316Rosemon,7,Management,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0,0.0
1316Rosemon,10,Professional Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-113.58,0.0,-51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1316Rosemon,14,EXPENSES,-333.43,-910.9300000000001,-333.43,-333.43,-333.43,-333.43,-448.17,-434.53,-548.11,-434.53,-545.53,-4826.829999999999,-434.53,-434.53,-434.53,-434.53,-434.53,-434.53,-523.61,-506.49,-506.49,-506.49,-506.49,-3110.8900000000003,-2842.4300000000003,-506.49,-506.49,-506.49,-506.49,-506.49,-564.0,-545.0,0.0
1316Rosemon,15,NET INCOME,2856.57,2279.0699999999997,2856.57,-333.43,5846.57,-333.43,-448.17,8064.55,-548.11,-434.53,6139.47,2234.4100000000017,-434.53,6720.93,5070.47,1214.67,5000.47,1360.47,-523.61,4021.3500000000004,3170.24,3184.49,1972.51,818.1099999999997,1086.5699999999997,3422.51,-506.49,7126.51,3122.51,3371.51,3165.0,1338.52,0.0
1316Rosemon,16,Mortgage Payments,-963.16,-963.16,-963.16,-963.16,-963.16,-963.16,-963.16,-963.16,-963.16,-963.16,-963.16,-963.16,-963.16,-963.16,-963.16,-963.16,-963.16,-963.16,-963.16,-963.16,-963.16,-963.16,-963.16,-963.16,-963.16,-963.16,-963.16,-963.16,-963.16,-963.16,-963.16,-963.16,0.0
1316Rosemon,17,Capex,0.0,0.0,0.0,0.0,0.0,0.0,-4500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1316Rosemon,19,Owner Draw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1316Rosemon,20,Security Deposit,0.0,0.0,0.0,0.0,0.0,-1395.0,0.0,0.0,0.0,0.0,0.0,1395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1316Rosemon,21,CASHFLOW,12039.13,13355.04,15248.45,13951.86,18835.27,16143.68,10232.35,17333.74,15822.47,14424.78,19601.09,2267.34,869.65,6627.42,10734.73,10986.24,15023.55,15420.86,13934.09,16992.28,19199.36,21420.69,22430.04,2284.99,2408.4,4867.75,3398.1,9561.45,11720.8,14129.15,16330.99,16706.35,0.0
