bank_account_key,sequence_id,category,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09
1342Newton,1,Rent,0.0,1795.0,1795.0,3590.0,0.0,1795.0,1795.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1512.33,0.0,0.0,0.0,0.0,3637.02,0.0,0.0,0.0,10772.62,0.0,0.0,0.0,7780.0,0.0,1593.5,3743.17,0.0,0.0
1342Newton,3,REVENUE,0.0,1795.0,1795.0,3590.0,0.0,1795.0,1795.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1512.33,0.0,0.0,0.0,0.0,3637.02,0.0,0.0,0.0,10772.62,0.0,0.0,0.0,7780.0,0.0,1593.5,3743.17,0.0,0.0
1342Newton,5,Taxes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8466.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7995.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1342Newton,6,Repair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1342Newton,7,Management,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,0.0
1342Newton,10,Professional Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-223.44,-1155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1342Newton,14,EXPENSES,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-448.44,-1230.0,-75.0,-8541.29,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-8070.56,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,0.0
1342Newton,15,NET INCOME,-75.0,1720.0,1720.0,3515.0,-75.0,1720.0,1720.0,-75.0,-448.44,-1230.0,-75.0,-8541.29,-75.0,-75.0,1437.33,-75.0,-75.0,-75.0,-75.0,3562.02,-75.0,-75.0,-75.0,2702.0600000000004,-75.0,-75.0,-75.0,7705.0,-75.0,1518.5,3668.17,-75.0,0.0
1342Newton,16,Mortgage Payments,-563.38,-563.38,-566.71,-566.71,-566.16,-566.16,-566.16,-566.16,-566.16,-566.16,-566.16,-566.16,-566.16,-566.16,-566.16,-566.14,-563.38,-563.38,-563.38,-563.38,-563.38,-563.38,-563.38,-563.38,-563.38,-563.38,-563.38,-563.38,-563.38,-563.38,-563.38,-563.38,0.0
1342Newton,18,Transfers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1342Newton,19,Owner Draw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,-6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1342Newton,20,Security Deposit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1342Newton,21,CASHFLOW,2901.37,4057.99,5211.28,8159.57,7518.41,8672.25,9826.09,9184.93,8170.33,6374.17,5733.01,2015.56,1374.4,733.24,1604.41,963.27,324.89,686.51,48.13,3046.77,2408.39,1770.01,1131.63,2270.31,1631.93,993.55,355.17,7496.79,6858.41,7813.53,10918.32,10279.94,0.0
