bank_account_key,sequence_id,category,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08
1905Morning,1,Rent,2150.0,0.0,2265.0,0.0,4620.0,2195.0,0.0,6545.0,0.0,-1700.0,3560.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1905Morning,3,REVENUE,2150.0,0.0,2265.0,0.0,4620.0,2195.0,0.0,6545.0,0.0,-1700.0,3560.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1905Morning,4,Insurance,0.0,0.0,-102.0,0.0,0.0,-1445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1905Morning,6,Repair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1905Morning,7,Management,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,825.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1905Morning,10,Professional Services,0.0,0.0,0.0,0.0,0.0,-150.0,0.0,0.0,-10.0,-10.0,-531.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1905Morning,12,HOA,0.0,0.0,0.0,-185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1905Morning,14,EXPENSES,-75.0,-75.0,-177.0,-260.0,-75.0,-1670.0,-75.0,-75.0,-85.0,-85.0,-606.83,-109.9,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,825.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1905Morning,15,NET INCOME,2075.0,-75.0,2088.0,-260.0,4545.0,525.0,-75.0,6470.0,-85.0,-1785.0,2954.08,-109.9,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,825.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1905Morning,16,Mortgage Payments,-831.31,-831.31,-831.31,-831.31,-831.31,-831.31,-831.31,-842.81,-842.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1905Morning,17,Capex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103375.4,0.0,0.0,-103375.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1905Morning,19,Owner Draw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1905Morning,20,Security Deposit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1905Morning,21,CASHFLOW,5202.03,4295.72,5552.41,4461.1,8174.79,7868.48,6962.17,12589.36,115036.95,113271.95,116226.03,1740.73,1665.73,1590.73,1515.73,1440.73,1365.73,1290.73,1215.73,1140.73,1965.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
