bank_account_key,sequence_id,category,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09
2224Heatherton,3,REVENUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2224Heatherton,5,Taxes,0.0,0.0,-2622.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5118.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2224Heatherton,6,Repair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2224Heatherton,7,Management,0.0,0.0,-10725.0,-2219.0,-1810.0,-2175.0,-1117.0,-2787.0,-1767.0,-1782.5,-4960.0,-1101.75,-2287.75,-3103.5,-2436.25,-3105.25,-2138.5,-615.5,-1938.0,-900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2224Heatherton,8,Utilities,0.0,0.0,0.0,0.0,0.0,-55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2224Heatherton,14,EXPENSES,0.0,0.0,-13347.65,-2219.0,-1810.0,-2230.0,-1117.0,-3287.0,-1767.0,-1782.5,-4960.0,-6220.43,-2287.75,-3103.5,-2436.25,-3105.25,-2138.5,-615.5,-1938.0,-900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2224Heatherton,15,NET INCOME,0.0,0.0,-13347.65,-2219.0,-1810.0,-2230.0,-1117.0,-3287.0,-1767.0,-1782.5,-4960.0,-6220.43,-2287.75,-3103.5,-2436.25,-3105.25,-2138.5,-615.5,-1938.0,-900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2224Heatherton,17,Capex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2224Heatherton,20,Security Deposit,0.0,0.0,-896.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2224Heatherton,21,CASHFLOW,72015.91,72015.91,57772.16,55553.16,53743.16,51513.16,50396.16,47109.16,45342.16,43559.66,38599.66,32379.23,21816.48,18712.98,16276.73,13171.48,11032.98,10417.48,8479.48,7579.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
