bank_account_key,sequence_id,category,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08
2417Garden,1,Rent,3900.0,4579.67,4137.5,0.0,8750.0,3727.54,0.0,6089.53,0.0,0.0,4611.9,8503.56,500.0,1988.27,-116.25000000000001,2845.0,3583.98,3451.54,0.0,5664.14,1570.0,1255.68,5710.0599999999995,2596.09,3150.0,624.0,0.0,5900.0,2950.0,2500.0,2700.0,0.0
2417Garden,2,Interest,0.02,0.05,0.05,0.06,0.06,0.07,0.04,0.08,0.08,0.07,0.53,1.47,0.3,0.28,0.17,0.22,0.15,0.26,0.36,0.68,0.88,0.9,1.0,1.35,0.04,0.01,0.0,0.03,0.06,0.06,0.08,0.0
2417Garden,3,REVENUE,3900.02,4579.72,4137.55,0.06,8750.06,3727.61,0.04,6089.61,0.08,0.07,4612.429999999999,8505.029999999999,500.3,1988.55,-116.08000000000001,2845.22,3584.13,3451.8,0.36,5664.820000000001,1570.88,1256.5800000000002,5711.0599999999995,2597.44,3150.04,624.01,0.0,5900.03,2950.06,2500.06,2700.08,0.0
2417Garden,4,Insurance,0.0,-1476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2417Garden,5,Taxes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2472.88,0.0,-2399.15,0.0,0.0,0.0,0.0,0.0,0.0
2417Garden,6,Repair,-380.0,-196.31,-75.0,-225.0,-1125.29,-1395.24,0.0,0.0,0.0,-734.93,-951.3100000000001,-69.05,0.0,-250.0,-85.99,-85.0,-4247.21,-82.21,-14.77,-82.21,-82.21,-103.25,-107.32,-88.67,-81.35,-3.12,0.0,0.0,0.0,0.0,0.0,0.0
2417Garden,7,Management,0.0,0.0,-1840.0,0.0,-621.0,0.0,0.0,0.0,0.0,0.0,0.0,-3477.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2417Garden,8,Utilities,0.0,-756.43,0.0,0.0,-121.88,-66.02,0.0,0.0,0.0,-551.66,-2221.91,-325.07,-114.06,-576.19,-322.40999999999997,-187.14000000000001,-315.94,-252.21,-264.41,-259.61,-255.94,-283.92,-240.21,-120.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2417Garden,9,Cleaning,0.0,-75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2417Garden,10,Professional Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.88,0.0,-35.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0
2417Garden,11,Travel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2417Garden,14,EXPENSES,-380.0,-2503.74,-1915.0,-225.0,-1868.17,-1461.26,0.0,0.0,-44.88,-1286.59,-3222.2799999999997,-3871.1200000000003,-114.06,-826.19,-408.4,-277.14,-4563.15,-334.42,-279.18,-341.82,-338.15,-387.17,-347.53,-6681.88,-81.35,-2402.27,-5.0,0.0,0.0,0.0,0.0,0.0
