bank_account_key,sequence_id,category,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08
4909Jamesway,1,Rent,10047.34,4757.22,2745.0,1404.8500000000001,8144.37,15296.36,964.11,5269.469999999999,3109.04,1860.24,7712.9400000000005,3999.53,3339.6400000000003,3928.26,5204.26,7679.29,5188.47,3225.69,2277.1499999999996,8328.460000000001,6138.64,6954.5,4713.1,1936.79,2035.29,2907.2,0.0,8091.94,9043.76,1190.06,3203.99,0.0
4909Jamesway,3,REVENUE,10047.34,4757.22,2745.0,1404.8500000000001,8144.37,15296.36,964.11,5269.469999999999,3109.04,1860.24,7712.9400000000005,3999.53,3339.6400000000003,3928.26,5204.26,7679.29,5188.47,3225.69,2277.1499999999996,8328.460000000001,6138.64,6954.5,4713.1,1936.79,2035.29,2907.2,0.0,8091.94,9043.76,1190.06,3203.99,0.0
4909Jamesway,5,Taxes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4909Jamesway,6,Repair,-90.0,-270.88,0.0,0.0,-3669.39,-603.2,-150.0,-650.0,-637.94,0.0,-484.88,-74.28,-250.0,-260.0,-2060.0,-7100.0,-180.0,-570.0,-180.0,-160.0,-120.0,0.0,0.0,0.0,-300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4909Jamesway,7,Management,0.0,0.0,-3468.0,0.0,-211.0,0.0,0.0,0.0,-3000.0,0.0,0.0,-6633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4909Jamesway,8,Utilities,0.0,-1136.7,0.0,0.0,-2002.34,-60.64,0.0,0.0,0.0,0.0,-222.57,-460.96,-1066.43,-979.04,-923.16,-732.11,-670.53,-528.51,-722.33,-789.84,-858.49,-853.0,-751.11,-684.76,-711.76,-976.74,-928.37,-496.55,-512.06,-665.83,-739.44,0.0
4909Jamesway,9,Cleaning,0.0,-150.0,-240.0,0.0,-160.0,-160.0,-80.0,-167.49,0.0,0.0,0.0,0.0,0.0,0.0,-400.0,0.0,-100.0,0.0,-240.0,-160.0,0.0,-97.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4909Jamesway,10,Professional Services,0.0,-105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-517.5,0.0,0.0,0.0,0.0,0.0,0.0,-41.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4909Jamesway,14,EXPENSES,-90.0,-1662.58,-3708.0,0.0,-6042.73,-823.84,-230.0,-817.49,-3637.94,0.0,-707.45,-15685.739999999998,-1316.43,-1239.04,-3383.16,-7832.11,-950.53,-1098.51,-1183.8799999999999,-1109.8400000000001,-978.49,-950.86,-751.11,-684.76,-1011.76,-976.74,-928.37,-496.55,-512.06,-665.83,-739.44,0.0
4909Jamesway,15,NET INCOME,9957.34,3094.6400000000003,-963.0,1404.8500000000001,2101.6400000000003,14472.52,734.11,4451.98,-528.9000000000001,1860.24,7005.490000000001,-11686.209999999997,2023.2100000000003,2689.2200000000003,1821.1000000000004,-152.8199999999997,4237.9400000000005,2127.1800000000003,1093.2699999999998,7218.620000000001,5160.150000000001,6003.64,3961.9900000000002,1252.03,1023.53,1930.4599999999998,-928.37,7595.389999999999,8531.7,524.2299999999999,2464.5499999999997,0.0
4909Jamesway,16,Mortgage Payments,-1118.25,-1118.25,-1118.25,-1118.25,-1118.25,-1118.25,-1118.25,-1118.25,-1118.25,-1118.25,-1118.25,-1118.25,-1118.25,-1118.25,-1118.25,-1118.25,-1118.25,-1118.25,-1118.25,-1118.25,-1118.25,-1118.25,-1118.25,-1118.25,-1118.25,-1118.25,-1118.25,-1118.25,-1118.25,-1118.25,-1118.25,0.0
4909Jamesway,17,Capex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4909Jamesway,19,Owner Draw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4909Jamesway,20,Security Deposit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10000.0,0.0,0.0,0.0,0.0,0.0,0.0,-500.0,0.0
4909Jamesway,21,CASHFLOW,13570.36,15546.75,13465.5,13752.1,14735.49,28089.76,27705.62,31039.35,30592.2,31334.19,37221.43,4416.97,5321.93,6892.9,7595.75,6324.68,9444.37,10453.3,10428.32,16528.69,20570.59,25455.98,28299.72,5433.5,5338.78,6150.99,4104.37,10581.51,17994.96,17400.94,18247.24,0.0
