bank_account_key,sequence_id,category,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09
4920Brianhill,1,Rent,4000.0,3526.07,3048.5,0.0,0.0,12919.599999999999,0.0,5529.9,0.0,0.0,8091.5,8182.45,4780.68,8718.25,4839.5,3791.0,7741.219999999999,4844.09,0.0,7009.35,3439.93,764.33,0.0,3467.72,1873.04,2398.14,0.0,3745.58,744.23,0.0,6414.53,4400.0,0.0
4920Brianhill,3,REVENUE,4000.0,3526.07,3048.5,0.0,0.0,12919.599999999999,0.0,5529.9,0.0,0.0,8091.5,8182.45,4780.68,8718.25,4839.5,3791.0,7741.219999999999,4844.09,0.0,7009.35,3439.93,764.33,0.0,3467.72,1873.04,2398.14,0.0,3745.58,744.23,0.0,6414.53,4400.0,0.0
4920Brianhill,4,Insurance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4920Brianhill,5,Taxes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8808.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11623.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4920Brianhill,6,Repair,0.0,0.0,-136.0,-236.0,-440.0,-390.0,-2300.0,-2340.0,0.0,0.0,0.0,0.0,0.0,-660.0,-60.0,-60.0,-120.0,-60.0,-180.0,-60.0,-2915.0,-350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4920Brianhill,8,Utilities,0.0,0.0,0.0,0.0,-115.75,0.0,0.0,0.0,0.0,0.0,0.0,-254.7,-270.23,-259.63,-278.95,-247.91,-258.03,-265.45,-266.8,-295.83,-262.08000000000004,-106.8,-114.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4920Brianhill,9,Cleaning,0.0,0.0,-100.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4920Brianhill,10,Professional Services,0.0,0.0,0.0,0.0,0.0,0.0,-132.73,0.0,0.0,0.0,-1090.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4920Brianhill,14,EXPENSES,0.0,0.0,-236.0,-236.0,-555.75,-490.0,-2432.73,-2340.0,0.0,0.0,-4054.99,-9063.01,-270.23,-919.63,-338.95,-307.90999999999997,-378.03,-325.45,-446.8,-355.83,-3327.08,-456.8,-114.26,-11623.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4920Brianhill,15,NET INCOME,4000.0,3526.07,2812.5,-236.0,-555.75,12429.599999999999,-2432.73,3189.8999999999996,0.0,0.0,4036.51,-880.5600000000004,4510.450000000001,7798.62,4500.55,3483.09,7363.19,4518.64,-446.8,6653.52,112.84999999999991,307.53000000000003,-114.26,-8155.710000000001,1873.04,2398.14,0.0,3745.58,744.23,0.0,6414.53,4400.0,0.0
4920Brianhill,16,Mortgage Payments,-1383.06,-1383.06,-1383.06,-1383.06,-1383.06,-1383.06,-1383.06,-1383.06,-1383.06,-1383.06,-1383.06,-1383.06,-1383.06,-1383.06,-1383.06,-1383.06,-1383.06,-1383.06,-1383.06,-1383.06,-1383.06,-1383.06,-1383.06,-1383.06,-1383.06,-1383.06,-1383.06,-1383.06,-1383.06,-1383.06,-1383.06,-1383.06,0.0
4920Brianhill,19,Owner Draw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4920Brianhill,20,Security Deposit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4920Brianhill,21,CASHFLOW,7030.86,9173.87,10603.31,8984.25,7045.44,18091.98,14276.19,16083.03,14699.97,13316.91,15970.36,8206.74,11334.13,17749.69,20867.18,22967.21,28947.34,32082.92,30253.06,35523.52,34253.31,33177.78,31680.46,6141.69,6631.67,7646.75,6263.69,8626.21,7987.38,6604.32,11635.79,14652.73,0.0
