bank_account_key,sequence_id,category,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09
6401Basswood,1,Rent,6089.96,9225.22,12964.2,3201.52,7367.36,7003.9400000000005,3200.0,6659.349999999999,2970.44,4489.1900000000005,3864.0,4227.98,8723.68,4456.25,8256.67,5848.7,9327.32,8187.0,0.0,8180.16,5930.26,4957.22,8246.5,-2318.1800000000003,5109.52,1754.75,475.0,6190.52,1450.46,3140.56,2655.0,2850.41,0.0
6401Basswood,3,REVENUE,6089.96,9225.22,12964.2,3201.52,7367.36,7003.9400000000005,3200.0,6659.349999999999,2970.44,4489.1900000000005,3864.0,4227.98,8723.68,4456.25,8256.67,5848.7,9327.32,8187.0,0.0,8180.16,5930.26,4957.22,8246.5,-2318.1800000000003,5109.52,1754.75,475.0,6190.52,1450.46,3140.56,2655.0,2850.41,0.0
6401Basswood,4,Insurance,0.0,-319.0,0.0,0.0,-764.08,-222.5,0.0,0.0,0.0,0.0,-890.0,0.0,0.0,0.0,-290.58,-290.58,-290.58,-290.58,-1403.08,-290.58,-290.58,-290.58,-290.58,-290.58,-290.58,-290.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6401Basswood,5,Taxes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8852.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11706.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6401Basswood,6,Repair,-60.0,-382.22,-45.0,-40.0,-6262.82,-1162.53,-550.0,-365.0,-223.7,0.0,-45.0,-48.56,-410.0,-6235.0,-360.0,-525.0,-120.0,-1310.0,-180.0,-160.0,-120.0,0.0,0.0,-2040.0,0.0,0.0,-3981.0,0.0,0.0,0.0,0.0,0.0,0.0
6401Basswood,7,Management,0.0,0.0,-3795.0,0.0,-2425.0,0.0,0.0,0.0,-3000.0,0.0,0.0,-4853.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-726.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6401Basswood,8,Utilities,0.0,-1085.26,0.0,0.0,-3147.76,-80.64,0.0,0.0,0.0,0.0,-387.76,-551.84,-952.47,-1086.02,-942.78,-654.89,-546.35,-475.65,-769.64,-520.3299999999999,-522.36,-536.72,-397.94,-336.65,-229.08,-289.32,-81.81,-20.46,-67.55,-271.18,0.0,0.0,0.0
6401Basswood,9,Cleaning,0.0,-150.0,-160.0,0.0,-160.0,-240.0,-240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-380.0,0.0,0.0,0.0,-80.0,0.0,0.0,0.0,0.0,0.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6401Basswood,10,Professional Services,0.0,-50.0,0.0,0.0,-55.0,0.0,0.0,0.0,0.0,0.0,-1107.89,-458.29999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.48,-2.76,-57.81,-46.18,0.0,0.0,0.0,-50.0,0.0
6401Basswood,11,Travel,0.0,0.0,0.0,0.0,-92.27000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
