bank_account_key,sequence_id,category,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09
711Parks,1,Rent,0.0,0.0,0.0,0.0,1795.0,3940.0,0.0,3900.0,0.0,0.0,3800.0,1496.16,0.0,4157.6,1790.0,0.0,1855.17,2310.0,0.0,4118.35,2100.0,1950.0,2190.0,2010.0,84.0,155.0,0.0,2125.0,0.0,0.0,0.0,0.0,0.0
711Parks,3,REVENUE,0.0,0.0,0.0,0.0,1795.0,3940.0,0.0,3900.0,0.0,0.0,3800.0,1496.16,0.0,4157.6,1790.0,0.0,1855.17,2310.0,0.0,4118.35,2100.0,1950.0,2190.0,2010.0,84.0,155.0,0.0,2125.0,0.0,0.0,0.0,0.0,0.0
711Parks,5,Taxes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6780.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5988.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
711Parks,6,Repair,0.0,0.0,0.0,0.0,1787.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-206.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
711Parks,7,Management,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,0.0
711Parks,8,Utilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
711Parks,10,Professional Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-173.33,-1155.0,0.0,0.0,0.0,3.8163916471489756e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.0,0.0,0.0,0.0
711Parks,14,EXPENSES,-75.0,-75.0,-75.0,-75.0,1712.0,-75.0,-75.0,-75.0,-248.33,-1230.0,-75.0,-6855.57,-75.0,-75.0,-75.0,-75.0,-77.77,-75.0,-75.0,-281.45,-75.0,-75.0,-75.0,-6063.16,-75.0,-75.0,-75.0,-75.0,-75.0,-110.0,-75.0,-75.0,0.0
711Parks,15,NET INCOME,-75.0,-75.0,-75.0,-75.0,3507.0,3865.0,-75.0,3825.0,-248.33,-1230.0,3725.0,-5359.41,-75.0,4082.6000000000004,1715.0,-75.0,1777.4,2235.0,-75.0,3836.9000000000005,2025.0,1875.0,2115.0,-4053.16,9.0,80.0,-75.0,2050.0,-75.0,-110.0,-75.0,-75.0,0.0
711Parks,16,Mortgage Payments,-733.95,-733.95,-733.95,-733.95,-733.95,-733.95,-1467.9,-733.95,0.0,-733.95,-733.95,-733.95,-733.95,-768.95,-733.95,-733.95,-733.95,-733.95,-733.95,-733.95,-733.95,-733.95,-733.95,-733.95,-733.95,-733.95,-733.95,-733.95,-733.95,-733.95,-733.95,-733.95,0.0
711Parks,19,Owner Draw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4500.0,0.0,0.0,0.0,0.0,0.0,2500.0,0.0,0.0,0.0
711Parks,20,Security Deposit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
711Parks,21,CASHFLOW,5419.46,4610.51,3801.56,2992.61,5765.66,8896.71,7353.81,10444.86,10196.53,8232.58,11223.63,1130.27,321.32,3634.97,4616.02,3807.07,4850.52,6351.57,5542.62,7925.57,9216.62,10357.67,11738.72,2451.61,1726.66,1072.71,263.76,1579.81,770.86,2426.91,1617.96,809.01,0.0
