bank_account_key,sequence_id,category,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09
7417Canoga,1,Rent,3311.85,2752.32,1843.77,3072.52,1023.98,0.0,3093.0,2938.31,3200.0,3200.0,3200.0,6400.0,0.0,0.0,0.0,0.0,905.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7417Canoga,3,REVENUE,3311.85,2752.32,1843.77,3072.52,1023.98,0.0,3093.0,2938.31,3200.0,3200.0,3200.0,6400.0,0.0,0.0,0.0,0.0,905.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7417Canoga,4,Insurance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7417Canoga,5,Taxes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4326.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7417Canoga,6,Repair,-90.0,-1496.62,0.0,-40.0,-340.0,-286.96000000000004,-270.0,-40.0,0.0,0.0,0.0,-87.52,-60.0,3140.0,-1200.0,-7050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7417Canoga,7,Management,0.0,0.0,-1378.0,0.0,-738.0,0.0,0.0,0.0,0.0,0.0,0.0,-2538.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7417Canoga,8,Utilities,-230.19,-438.25,-386.52,-395.65,-728.09,-353.40999999999997,0.0,0.0,0.0,0.0,-2167.37,-64.49,-342.95,-72.78,-494.21,-47.69,-91.13,0.0,-626.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7417Canoga,9,Cleaning,0.0,-300.0,-400.0,0.0,-720.0,0.0,-80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7417Canoga,10,Professional Services,0.0,-25.0,-34.0,0.0,0.0,0.0,0.0,0.0,-219.62,0.0,-43.26,0.0,0.0,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7417Canoga,14,EXPENSES,-320.19,-2259.87,-2198.52,-435.65,-2526.09,-640.37,-350.0,-40.0,-219.62,0.0,-3630.63,-7016.81,-402.95,3037.22,-1694.21,-7097.69,-91.13,0.0,-626.46,0.0,0.0,0.0,0.0,0.0,-5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7417Canoga,15,NET INCOME,2991.66,492.4500000000003,-354.75,2636.87,-1502.1100000000001,-640.37,2743.0,2898.31,2980.38,3200.0,-430.6300000000001,-616.8100000000004,-402.95,3037.22,-1694.21,-7097.69,814.0600000000001,0.0,-626.46,0.0,0.0,0.0,0.0,0.0,-5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7417Canoga,16,Mortgage Payments,0.0,-625.0,-625.0,-625.0,-625.0,-625.0,-625.0,-625.0,-625.0,-625.0,-625.0,-625.0,-625.0,-625.0,-625.0,-625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7417Canoga,17,Capex,0.0,0.0,0.0,0.0,-3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2609.11,3994.86,0.0,0.0,0.0,0.0,53196.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7417Canoga,18,Transfers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-500.0,-248.0,0.0,0.0
7417Canoga,19,Owner Draw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6000.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7417Canoga,20,Security Deposit,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,-2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7417Canoga,21,CASHFLOW,7266.14,7133.59,6153.84,8165.71,3038.6,1773.23,6391.23,8664.54,11019.92,13594.92,12539.29,2797.48,1769.53,4181.75,1862.54,1748.96,6557.88,6557.88,5931.42,5931.42,5931.42,59127.74,59127.74,9127.74,4127.74,4127.74,4127.74,4127.74,4127.74,3627.74,3379.74,0.0,0.0
