bank_account_key,sequence_id,category,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09
8604Wagon,1,Rent,1850.0,1850.0,1900.0,0.0,3550.0,1850.0,0.0,3900.0,0.0,0.0,3750.0,3650.0,0.0,3813.25,1828.0,1800.0,2025.0,1950.0,0.0,3899.44,1852.01,2100.0,2100.0,2100.0,2100.0,2100.0,0.0,4050.0,2100.0,1834.75,2100.0,1814.38,0.0
8604Wagon,3,REVENUE,1850.0,1850.0,1900.0,0.0,3550.0,1850.0,0.0,3900.0,0.0,0.0,3750.0,3650.0,0.0,3813.25,1828.0,1800.0,2025.0,1950.0,0.0,3899.44,1852.01,2100.0,2100.0,2100.0,2100.0,2100.0,0.0,4050.0,2100.0,1834.75,2100.0,1814.38,0.0
8604Wagon,4,Insurance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8604Wagon,5,Taxes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5963.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5939.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8604Wagon,6,Repair,0.0,0.0,0.0,0.0,0.0,-1155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8604Wagon,7,Management,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,-75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8604Wagon,10,Professional Services,0.0,0.0,0.0,-1.99,0.0,0.0,0.0,0.0,-57.59,0.0,0.0,-1.99,-15.0,-16.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8604Wagon,12,HOA,0.0,0.0,0.0,-250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-163.3,0.0,-56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8604Wagon,14,EXPENSES,-75.0,-75.0,-75.0,-326.99,-75.0,-1230.0,-75.0,-75.0,-132.59,-75.0,-75.0,-7361.35,-90.0,-147.99,-75.0,-75.0,-75.0,-195.0,-75.0,-75.0,-75.0,-75.0,-75.0,-6014.68,-75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8604Wagon,15,NET INCOME,1775.0,1775.0,1825.0,-326.99,3475.0,620.0,-75.0,3825.0,-132.59,-75.0,3675.0,-3711.3500000000004,-90.0,3665.26,1753.0,1725.0,1950.0,1755.0,-75.0,3824.44,1777.01,2025.0,2025.0,-3914.6800000000003,2025.0,2100.0,0.0,4050.0,2100.0,1834.75,2100.0,1814.38,0.0
8604Wagon,16,Mortgage Payments,-843.79,-843.79,-843.79,-843.79,-843.79,-843.79,-843.79,-843.79,-843.79,-843.79,-843.79,-843.79,-843.79,-843.79,-843.79,-843.79,-843.79,-843.79,-843.79,-843.79,-843.79,-843.79,-843.79,-843.79,-843.79,-843.79,-843.79,-843.79,-843.79,-843.79,-843.79,-843.79,0.0
8604Wagon,19,Owner Draw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8604Wagon,20,Security Deposit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8604Wagon,21,CASHFLOW,3630.55,4561.76,5542.97,4372.19,7003.4,6779.61,5860.82,8842.03,7865.65,6946.86,9778.07,2222.93,1289.14,4110.61,5019.82,5901.03,7007.24,7918.45,6999.66,9980.31,10913.53,12094.74,13275.95,2517.48,3698.69,4954.9,4111.11,7317.32,8573.53,9564.49,10820.7,11791.29,0.0
