bank_account_key,sequence_id,category,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09
Common,1,Rent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Common,3,REVENUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Common,4,Insurance,0.0,-1344.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Common,6,Repair,0.0,0.0,-1940.0,0.0,-159.08999999999992,0.0,0.0,0.0,0.0,-167.04,-932.77,-544.05,-377.46,0.0,-670.47,-60.0,-133.7,0.0,-1179.04,1156.24,-53.46,-182.65,-53.29,-25.59,-25.59,-25.59,-42.25,-26.07,-109.42,0.0,-204.68,-40.35,0.0
Common,7,Management,-892.0,-1571.0,-888.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Common,10,Professional Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Common,14,EXPENSES,-892.0,-2915.98,-2828.0,0.0,-159.08999999999992,0.0,0.0,0.0,0.0,-167.04,2418.23,-544.05,-377.46,0.0,-670.47,-60.0,-133.7,0.0,-1179.04,1156.24,-53.46,-182.65,-53.29,-25.59,-25.59,-25.59,-42.25,-26.07,-109.42,0.0,-204.68,-40.35,0.0
Common,15,NET INCOME,-892.0,-2915.98,-2828.0,0.0,-159.08999999999992,0.0,0.0,0.0,0.0,-167.04,2418.23,-544.05,-377.46,0.0,-670.47,-60.0,-133.7,0.0,-1179.04,1156.24,-53.46,-182.65,-53.29,-25.59,-25.59,-25.59,-42.25,-26.07,-109.42,0.0,-204.68,-40.35,0.0
Common,17,Capex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Common,18,Transfers,0.0,-1839.09,0.0,1839.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,248.0,0.0,0.0
Common,19,Owner Draw,-2000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Common,21,CASHFLOW,950.75,1195.68,-1632.32,206.77,47.68,47.68,47.68,47.68,47.68,-119.36,2298.87,1754.82,1377.36,1377.36,706.89,646.89,513.19,513.19,-665.85,490.39,436.93,254.28,200.99,175.4,149.81,124.22,81.97,55.9,-53.52,446.48,489.8,449.45,0.0
