bank_account_key,sequence_id,category,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09
Midway,1,Rent,19950.35,22927.25,27648.98,2658.0,56549.25,27798.76,25554.09,36706.65,27457.73,24958.37,39204.479999999996,24658.32,23024.27,33700.270000000004,28437.0,29798.92,32970.51,30929.67,28975.21,27056.76,25475.0,30616.62,32649.5,32501.13,0.0,55957.68,0.0,20683.0,46921.57,28291.43,17828.44,17872.38,0.0
Midway,3,REVENUE,19950.35,22927.25,27648.98,2658.0,56549.25,27798.76,25554.09,36706.65,27457.73,24958.37,39204.479999999996,24658.32,23024.27,33700.270000000004,28437.0,29798.92,32970.51,30929.67,28975.21,27056.76,25475.0,30616.62,32649.5,32501.13,0.0,55957.68,0.0,20683.0,46921.57,28291.43,17828.44,17872.38,0.0
Midway,4,Insurance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22495.0,0.0,-1413.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32834.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Midway,6,Repair,-5281.08,-11359.26,-5290.55,-12948.03,-6884.6,-8852.39,-3502.06,-7423.700000000001,-9912.75,-8430.050000000001,-9120.650000000001,-8432.77,-5332.79,-12282.99,-2407.46,-5320.54,-4988.54,-6161.6900000000005,-3063.9700000000003,-8313.76,-5091.66,-11133.75,-14217.96,-7706.379999999999,-1975.24,-2330.83,-2452.25,-6373.07,-5144.85,-5051.95,-136.07,0.0,0.0
Midway,7,Management,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,1000.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,-1500.0,0.0
Midway,8,Utilities,-705.71,-1545.39,-1339.3,-1277.98,-1199.14,-883.78,-1076.6200000000001,-1015.3,-1739.1100000000001,-1056.5800000000002,-1172.75,-1044.65,-1428.95,-1465.8899999999999,-1054.1399999999999,-1063.29,-907.74,-971.7900000000001,-953.49,-971.19,-1184.22,-1010.16,-1338.63,-1031.46,-419.6,-75.26,-77.28,-77.28,-770.5699999999999,-838.0799999999999,-1260.0700000000002,-83.29,0.0
Midway,9,Cleaning,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Midway,10,Professional Services,-298.95,-757.3399999999999,-1000.68,-362.19,-515.46,-412.73,-119.47999999999999,-26.0,-300.0,-2000.0,-108.24,-370.0,0.0,0.0,0.0,-232.73,-313.9,0.0,0.0,-100.0,-25.0,0.0,-108.24,-540.0,-995.28,-1200.45,-5673.4400000000005,-1056.2,0.0,0.0,0.0,0.0,0.0
Midway,11,Travel,0.0,-23.840000000000003,-175.21,0.0,0.0,-47.05,0.0,-124.46000000000001,0.0,0.0,-467.95,0.0,0.0,0.0,0.0,0.0,-101.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.63,0.0,0.0
Midway,14,EXPENSES,-7785.74,-15235.83,-9305.74,-16088.2,-10099.2,-11695.949999999999,-6198.159999999999,-10089.46,-35946.86,-12986.630000000001,-13782.590000000002,-8847.42,-8261.74,-15248.88,-4961.6,-8116.5599999999995,-7811.5599999999995,-8633.480000000001,-5517.46,-10884.95,-40634.880000000005,-13643.91,-17164.83,-10777.84,-4890.12,-5106.54,-9702.970000000001,-9006.55,-7415.42,-7390.03,-2907.7700000000004,-1583.29,0.0
