bank_account_key,sequence_id,category,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08
Partnership,1,Rent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Partnership,2,Interest,2.99,2.64,2.91,2.8,2.84,2.18,1.75,2.89,2.79,2.88,90.35,245.47,694.38,755.32,876.17,834.78,869.72,841.11,689.24,376.81,363.8,379.55,371.51,457.53,1052.56,526.53,10.11,9.77,18.54,31.42,158.77,0.0
Partnership,3,REVENUE,2.99,2.64,2.91,2.8,2.84,2.18,1.75,2.89,2.79,2.88,90.35,245.47,694.38,755.32,876.17,834.78,869.72,1500.2,689.24,376.81,363.8,379.55,371.51,457.53,1052.56,526.53,10.11,9.77,18.54,31.42,158.77,0.0
Partnership,5,Taxes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Partnership,7,Management,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Partnership,10,Professional Services,0.0,0.0,0.0,0.0,0.0,-180.0,-165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-75.0,0.0,-15.0,0.0,0.0,0.0,0.0,8536.2,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,-25.0,0.0,0.0
Partnership,13,Allocation,0.0,0.0,0.0,-3800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Partnership,14,EXPENSES,0.0,0.0,0.0,-3800.0,0.0,-180.0,-165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-75.0,0.0,-15.0,0.0,0.0,0.0,0.0,8536.2,0.0,0.0,-20000.0,0.0,0.0,0.0,-40.0,-25.0,0.0,0.0
Partnership,15,NET INCOME,2.99,2.64,2.91,-3797.2,2.84,-177.82,-163.25,2.89,2.79,2.88,90.35,245.47,694.38,755.32,801.17,834.78,854.72,1500.2,689.24,376.81,363.8,8915.75,371.51,457.53,-18947.44,526.53,10.11,9.77,-21.46,6.420000000000002,158.77,0.0
Partnership,17,Capex,0.0,0.0,0.0,0.0,0.0,-147000.0,151050.0,0.0,0.0,0.0,0.0,103375.4,0.0,0.0,-25000.0,0.0,7500.0,0.0,-70000.0,0.0,0.0,0.0,0.0,13000.0,0.0,0.0,-2000.0,0.0,-257993.38,-98000.0,-148940.0,0.0
Partnership,18,Transfers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Partnership,19,Owner Draw,0.0,-5000.0,0.0,0.0,0.0,0.0,0.0,-1000.0,0.0,0.0,0.0,272000.0,-1000.0,-10000.0,0.0,-5000.0,0.0,-6000.0,-3000.0,0.0,0.0,0.0,0.0,126500.0,38000.0,-11000.0,0.0,0.0,55000.0,-2500.0,0.0,0.0
Partnership,20,Security Deposit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Partnership,21,CASHFLOW,175918.68,170921.32,170924.23,167127.03,167129.87,19952.05,170838.8,169841.69,169844.48,169847.36,169937.71,545558.58,545252.96,536008.28,511809.45,507644.23,515998.95,511499.15,439188.39,438065.2,438429.0,447344.75,447716.26,587673.79,606726.35,596252.88,594262.99,594272.76,391257.92,290764.34,141983.11,0.0
