Property,Month,Balance
MeadowSecurity,2020-12,"4,550.00"
TrustAccount,2020-12, -   
1905Morning,2020-12,"2,285.57"
2417Garden,2020-12,"3,904.35"
108Pagoda,2020-12,"6,220.31"
2208Chase,2020-12,"4,148.35"
104Meadow,2020-12,"1,809.00"
108Meadow,2020-12,"5,254.81"
116Meadow,2020-12,"5,640.03"
116MeadowSavings,2020-12,"3,654.01"
1342Newton,2020-12,"6,914.21"
1316Rosemon,2020-12,"14,087.79"
874Wintergreen,2020-12,"2,377.01"
PagodaSecurity,2020-12,"17,016.85"
711Parks,2020-12,"6,833.59"
Midway,2020-12, -   
1117Brewer,2020-12,"3,848.85"
Partnership,2020-12,"546,911.76"
8604Wagon,2020-12,"4,021.07"
114Sidney,2020-12,"2,052.25"
2224Heatherton,2020-12,"1,632.41"
4920Brianhill,2020-12,"5,304.01"
Common,2020-12,"5,837.83"
6401Basswood,2020-12,"10,773.16"
4909Jamesway,2020-12,920.32
7417Canoga,2020-12,"2,219.61"
TrustChase,2020-12, -   
MeadowSecurity,2021-01,"4,550.00"
TrustAccount,2021-01, -   
1905Morning,2021-01,"3,079.26"
2417Garden,2021-01,"3,904.39"
108Pagoda,2021-01,"4,343.37"
2208Chase,2021-01,"4,298.39"
104Meadow,2021-01,"2,598.80"
108Meadow,2021-01,"5,350.25"
116Meadow,2021-01,"6,865.03"
116MeadowSavings,2021-01,"3,804.04"
1342Newton,2021-01,"7,820.83"
1316Rosemon,2021-01,"17,282.92"
874Wintergreen,2021-01,"2,035.31"
PagodaSecurity,2021-01,"17,017.00"
711Parks,2021-01,"7,719.64"
Midway,2021-01, -   
1117Brewer,2021-01,"4,817.37"
Partnership,2021-01,"525,190.89"
8604Wagon,2021-01,"4,772.28"
114Sidney,2021-01,"3,527.25"
2224Heatherton,2021-01,"5,936.41"
4920Brianhill,2021-01,"3,854.01"
Common,2021-01,"5,348.89"
6401Basswood,2021-01,"7,959.41"
4909Jamesway,2021-01,"5,520.34"
7417Canoga,2021-01,"1,424.08"
TrustChase,2021-01, -   
MeadowSecurity,2021-02,"4,550.00"
TrustAccount,2021-02, -   
1905Morning,2021-02,"7,777.34"
2417Garden,2021-02,"12,199.36"
108Pagoda,2021-02,"8,285.36"
2208Chase,2021-02,"10,843.10"
104Meadow,2021-02,"3,388.60"
108Meadow,2021-02,"7,472.58"
116Meadow,2021-02,"8,190.03"
116MeadowSavings,2021-02,"3,954.07"
1342Newton,2021-02,"10,271.45"
1316Rosemon,2021-02,"18,983.05"
874Wintergreen,2021-02,"2,493.61"
PagodaSecurity,2021-02,"17,017.13"
711Parks,2021-02,"8,605.69"
Midway,2021-02, -   
1117Brewer,2021-02,"5,725.89"
Partnership,2021-02,"180,473.68"
8604Wagon,2021-02,"5,523.49"
114Sidney,2021-02,"2,975.36"
2224Heatherton,2021-02,"7,002.41"
4920Brianhill,2021-02,"6,029.01"
Common,2021-02,"8,900.84"
6401Basswood,2021-02,"10,149.12"
4909Jamesway,2021-02,"8,998.27"
7417Canoga,2021-02,"2,240.02"
TrustChase,2021-02, -   
MeadowSecurity,2021-03,"4,550.00"
TrustAccount,2021-03, -   
1905Morning,2021-03,"8,571.03"
2417Garden,2021-03,"10,461.96"
108Pagoda,2021-03,"3,413.73"
2208Chase,2021-03,"12,184.28"
104Meadow,2021-03,"4,178.40"
108Meadow,2021-03,"4,075.20"
116Meadow,2021-03,"9,515.03"
116MeadowSavings,2021-03,"4,104.11"
1342Newton,2021-03,"9,633.07"
1316Rosemon,2021-03,"20,683.18"
874Wintergreen,2021-03,"2,951.91"
PagodaSecurity,2021-03,"17,017.27"
711Parks,2021-03,"9,491.74"
Midway,2021-03, -   
1117Brewer,2021-03,"6,634.41"
Partnership,2021-03,"275,053.75"
8604Wagon,2021-03,"6,274.70"
114Sidney,2021-03,"2,334.33"
2224Heatherton,2021-03,"5,248.41"
4920Brianhill,2021-03,"11,379.01"
Common,2021-03,"3,564.98"
6401Basswood,2021-03,"8,085.93"
4909Jamesway,2021-03,"12,343.20"
7417Canoga,2021-03,"3,989.13"
TrustChase,2021-03, -   
MeadowSecurity,2021-04,"3,040.00"
TrustAccount,2021-04, -   
1905Morning,2021-04,"9,179.72"
2417Garden,2021-04,"60,780.45"
108Pagoda,2021-04,"9,767.51"
2208Chase,2021-04,"5,856.23"
104Meadow,2021-04,"4,968.20"
108Meadow,2021-04,"9,073.46"
116Meadow,2021-04,"9,927.99"
116MeadowSavings,2021-04,"4,254.14"
1342Newton,2021-04,"10,644.69"
1316Rosemon,2021-04,"20,639.60"
874Wintergreen,2021-04,"2,403.21"
PagodaSecurity,2021-04,"11,927.39"
711Parks,2021-04,"10,377.79"
Midway,2021-04, -   
1117Brewer,2021-04,"7,542.93"
Partnership,2021-04,"216,057.94"
8604Wagon,2021-04,"6,823.92"
114Sidney,2021-04,"5,421.61"
2224Heatherton,2021-04,"82,750.71"
