bank_account_key,start_date,end_date,cash_change,ending_balance,calc_balance,period_status
108Pagoda,9/1/13,9/30/13,"15,991","27,613.80",27613.8,closed
104Meadow,10/1/13,10/31/13,997,997.1,997.1,closed
108Pagoda,10/1/13,10/31/13,"-12,201","15,412.38",15412.38,closed
104Meadow,11/1/13,11/30/13,"3,631","4,627.93",4627.93,closed
108Pagoda,11/1/13,11/30/13,841,"16,253.46",16253.46,closed
104Meadow,12/1/13,12/31/13,"-2,798","1,830.32",1830.32,closed
108Pagoda,12/1/13,12/31/13,"-1,637","14,616.80",14616.8,closed
104Meadow,1/1/14,1/31/14,954,"2,784.13",2784.13,closed
108Pagoda,1/1/14,1/31/14,-33,"14,584.04",14584.04,closed
104Meadow,2/1/14,2/28/14,436,"3,220.57",3220.57,closed
108Pagoda,2/1/14,2/28/14,805,"15,388.60",15388.6,closed
104Meadow,3/1/14,3/31/14,43,"3,263.26",3263.26,closed
108Pagoda,3/1/14,3/31/14,"-2,010","13,378.17",13378.17,closed
104Meadow,4/1/14,4/30/14,466,"3,729.57",3729.57,closed
108Pagoda,4/1/14,4/30/14,"1,238","14,615.90",14615.9,closed
104Meadow,5/1/14,5/31/14,495,"4,224.60",4224.6,closed
108Pagoda,5/1/14,5/31/14,545,"15,161.32",15161.32,closed
104Meadow,6/1/14,6/30/14,551,"4,775.42",4775.42,closed
108Meadow,6/1/14,6/30/14,"7,408","7,407.84",7407.84,closed
108Pagoda,6/1/14,6/30/14,427,"15,587.92",15587.92,closed
116Meadow,6/1/14,6/30/14,"6,389","19,855.92",19855.92,closed
104Meadow,7/1/14,7/31/14,813,"5,588.55",5588.55,closed
108Meadow,7/1/14,7/31/14,-473,"6,934.54",6934.54,closed
108Pagoda,7/1/14,7/31/14,775,"16,362.89",16362.89,closed
116Meadow,7/1/14,7/31/14,"-1,261","18,595.31",18595.31,closed
104Meadow,8/1/14,8/31/14,648,"6,236.94",6236.94,closed
108Meadow,8/1/14,8/31/14,"1,102","8,036.64",8036.64,closed
108Pagoda,8/1/14,8/31/14,775,"17,137.86",17137.86,closed
116Meadow,8/1/14,8/31/14,739,"19,334.18",19334.18,closed
104Meadow,9/1/14,9/30/14,"1,793","8,030.33",8030.33,closed
108Meadow,9/1/14,9/30/14,-70,"7,966.55",7966.55,closed
108Pagoda,9/1/14,9/30/14,567,"17,704.54",17704.54,closed
116Meadow,9/1/14,9/30/14,"1,050","20,384.18",20384.18,closed
104Meadow,10/1/14,10/31/14,-597,"7,433.72",7433.72,closed
108Meadow,10/1/14,10/31/14,703,"8,669.94",8669.94,closed
108Pagoda,10/1/14,10/31/14,488,"18,192.20",18192.2,closed
116Meadow,10/1/14,10/31/14,725,"21,109.17",21109.17,closed
104Meadow,11/1/14,11/30/14,-33,"7,401.11",7401.11,closed
108Meadow,11/1/14,11/30/14,703,"9,373.33",9373.33,closed
108Pagoda,11/1/14,11/30/14,-203,"17,989.16",17989.16,closed
116Meadow,11/1/14,11/30/14,694,"21,803.15",21803.15,closed
1342Newton,11/1/14,11/30/14,"2,777","2,776.95",2776.95,closed
