bank_account_key,start_date,end_date,cash_change,ending_balance,calc_balance,period_status
104Meadow,2024-01-01,2024-01-31,1453.8,2584.39,2584.39,closed
104Meadow,2024-02-01,2024-02-29,1144.8,3729.19,3729.19,closed
104Meadow,2024-03-01,2024-03-31,-805.2,2923.99,2923.99,closed
104Meadow,2024-04-01,2024-04-30,2635.8,5559.79,5559.79,closed
108Meadow,2024-01-01,2024-01-31,1335.07,2545.88,2545.88,closed
108Meadow,2024-02-01,2024-02-29,1026.07,3571.95,3571.95,closed
108Meadow,2024-03-01,2024-03-31,-823.93,2748.02,2748.02,closed
108Meadow,2024-04-01,2024-04-30,2417.07,5165.09,5165.09,closed
108Pagoda,2024-01-01,2024-01-31,1214.03,2894.86,2894.86,closed
108Pagoda,2024-02-01,2024-02-29,1123.03,4017.89,4017.89,closed
108Pagoda,2024-03-01,2024-03-31,-886.16,3131.73,3131.73,closed
108Pagoda,2024-04-01,2024-04-30,2839.03,5970.76,5970.76,closed
1117Brewer,2024-01-01,2024-01-31,906.02,2866.92,2866.92,closed
1117Brewer,2024-02-01,2024-02-29,-786.48,2080.44,2080.44,closed
1117Brewer,2024-03-01,2024-03-31,-786.48,1293.96,1293.96,closed
1117Brewer,2024-04-01,2024-04-30,-786.48,507.48,507.48,closed
114Sidney,2024-01-01,2024-01-31,-750.63,3159.42,3159.42,closed
114Sidney,2024-02-01,2024-02-29,-675.63,2483.79,2483.79,closed
114Sidney,2024-03-01,2024-03-31,-675.63,1808.16,1808.16,closed
114Sidney,2024-04-01,2024-04-30,2189.32,3997.48,3997.48,closed
116Meadow,2024-01-01,2024-01-31,1477.98,3621.06,3621.06,closed
116Meadow,2024-02-01,2024-02-29,1168.98,4790.04,4790.04,closed
116Meadow,2024-03-01,2024-03-31,-681.02,4109.02,4109.02,closed
116Meadow,2024-04-01,2024-04-30,2484.98,6594,6594.00,closed
116MeadowSavings,2024-01-01,2024-01-31,150.05,2061.34,2061.34,closed
116MeadowSavings,2024-02-01,2024-02-29,150.02,2211.36,2211.36,closed
116MeadowSavings,2024-03-01,2024-03-31,150.02,2361.38,2361.38,closed
116MeadowSavings,2024-04-01,2024-04-30,150.02,2511.4,2511.40,closed
1316Rosemon,2024-01-01,2024-01-31,123.41,2408.4,2408.40,closed
1316Rosemon,2024-02-01,2024-02-29,2459.35,4867.75,4867.75,closed
1316Rosemon,2024-03-01,2024-03-31,-1469.65,3398.1,3398.10,closed
1316Rosemon,2024-04-01,2024-04-30,6163.35,9561.45,9561.45,closed
1342Newton,2024-01-01,2024-01-31,-638.38,1631.93,1631.93,closed
1342Newton,2024-02-01,2024-02-29,-638.38,993.55,993.55,closed
1342Newton,2024-03-01,2024-03-31,-638.38,355.17,355.17,closed
1342Newton,2024-04-01,2024-04-30,7141.62,7496.79,7496.79,closed
2208Chase,2024-01-01,2024-01-31,0.04,1723.38,1723.38,closed
2208Chase,2024-02-01,2024-02-29,0.02,1723.4,1723.40,closed
2208Chase,2024-03-01,2024-03-31,0.01,1723.41,1723.41,closed
2208Chase,2024-04-01,2024-04-30,0.02,1723.43,1723.43,closed
2417Garden,2024-01-01,2024-01-31,2120.97,3786.47,3786.47,closed
2417Garden,2024-02-01,2024-02-29,-2725.98,1060.49,1060.49,closed
2417Garden,2024-03-01,2024-03-31,-952.72,107.77,107.77,closed
2417Garden,2024-04-01,2024-04-30,4952.31,5060.08,5060.08,closed
4920Brianhill,2024-01-01,2024-01-31,489.98,6631.67,6631.67,closed
4920Brianhill,2024-02-01,2024-02-29,1015.08,7646.75,7646.75,closed
4920Brianhill,2024-03-01,2024-03-31,-1383.06,6263.69,6263.69,closed
4920Brianhill,2024-04-01,2024-04-30,2362.52,8626.21,8626.21,closed
6401Basswood,2024-01-01,2024-01-31,3209.79,6590.56,6590.56,closed
6401Basswood,2024-02-01,2024-02-29,-937.52,5653.04,5653.04,closed
6401Basswood,2024-03-01,2024-03-31,-5028.68,624.36,624.36,closed
6401Basswood,2024-04-01,2024-04-30,4740.82,5365.18,5365.18,closed
711Parks,2024-01-01,2024-01-31,-724.95,1726.66,1726.66,closed
711Parks,2024-02-01,2024-02-29,-653.95,1072.71,1072.71,closed
711Parks,2024-03-01,2024-03-31,-808.95,263.76,263.76,closed
711Parks,2024-04-01,2024-04-30,1316.05,1579.81,1579.81,closed
7417Canoga,2024-01-01,2024-01-31,-5000,4127.74,4127.74,closed
8604Wagon,2024-01-01,2024-01-31,1181.21,3698.69,3698.69,closed
8604Wagon,2024-02-01,2024-02-29,1256.21,4954.90,4954.90,closed
8604Wagon,2024-03-01,2024-03-31,-843.79,4111.11,4111.11,closed
8604Wagon,2024-04-01,2024-04-30,3206.21,7317.32,7317.32,closed
874Wintergreen,2024-01-01,2024-01-31,-769.01,686.09,686.09,closed
874Wintergreen,2024-02-01,2024-02-29,10313.91,11000,11000.00,closed
874Wintergreen,2024-03-01,2024-03-31,-769.01,10230.99,10230.99,closed
874Wintergreen,2024-04-01,2024-04-30,-769.01,9461.98,9461.98,closed
Common,2024-01-01,2024-01-31,-25.59,149.81,149.81,closed
Common,2024-02-01,2024-02-29,-25.59,124.22,124.22,closed
Common,2024-03-01,2024-03-31,-42.25,81.97,81.97,closed
Common,2024-04-01,2024-04-30,-26.07,55.90,55.90,closed
Midway,2024-01-01,2024-01-31,-14431.95,34788.42,34788.42,closed
Midway,2024-02-01,2024-02-29,41309.31,76097.73,76097.73,closed
Midway,2024-03-01,2024-03-31,-18931.61,57166.12,57166.12,closed
Midway,2024-04-01,2024-04-30,2134.62,59300.74,59300.74,closed
PagodaSecurity,2024-01-01,2024-01-31,0.78,28245.72,28245.72,closed
PagodaSecurity,2024-02-01,2024-02-29,0.22,28245.94,28245.94,closed
PagodaSecurity,2024-03-01,2024-03-31,0.24,28246.18,28246.18,closed
PagodaSecurity,2024-04-01,2024-04-30,0.23,28246.41,28246.41,closed
Partnership,2024-01-01,2024-01-31,19052.56,606726.35,606726.35,closed
Partnership,2024-02-01,2024-02-29,-10473.47,596252.88,596252.88,closed
Partnership,2024-03-01,2024-03-31,-1989.89,594262.99,594262.99,closed
Partnership,2024-04-01,2024-04-30,9.77,594272.76,594272.76,closed
