bank_account_key,start_date,end_date,cash_change,ending_balance,calc_balance,period_status
104Meadow,8/1/17,8/31/17,-692,11621.25,11621.25,closed
104Meadow,12/1/20,12/31/20,-6155,1809,1809,closed
104Meadow,5/1/21,5/31/21,795,5763,5763,closed
104Meadow,10/1/21,10/31/21,890,10012,10012,closed
104Meadow,2/1/14,2/28/14,436,3220.57,3220.57,closed
104Meadow,3/1/14,3/31/14,43,3263.26,3263.26,closed
104Meadow,4/1/14,4/30/14,466,3729.57,3729.57,closed
104Meadow,5/1/14,5/31/14,495,4224.6,4224.6,closed
104Meadow,6/1/14,6/30/14,551,4775.42,4775.42,closed
104Meadow,7/1/14,7/31/14,813,5588.55,5588.55,closed
104Meadow,9/1/14,9/30/14,1793,8030.33,8030.33,closed
104Meadow,10/1/14,10/31/14,-597,7433.72,7433.72,closed
104Meadow,11/1/14,11/30/14,-33,7401.11,7401.11,closed
104Meadow,12/1/14,12/31/14,-4433,2968.24,2968.24,closed
104Meadow,1/1/15,1/31/15,403,3371.63,3371.63,closed
104Meadow,2/1/15,2/28/15,1546,4917.39,4917.39,closed
104Meadow,3/1/15,3/31/15,623,5540.78,5540.78,closed
104Meadow,4/1/15,4/30/15,613,6153.4,6153.4,closed
104Meadow,5/1/15,5/31/15,599,6752.64,6752.64,closed
104Meadow,6/1/15,6/30/15,-689,6064.03,6064.03,closed
104Meadow,7/1/15,7/31/15,648,6712.42,6712.42,closed
104Meadow,8/1/15,8/31/15,1953,8665.81,8665.81,closed
104Meadow,9/1/15,9/30/15,-872,7794.2,7794.2,closed
104Meadow,10/1/15,10/31/15,684,8477.95,8477.95,closed
104Meadow,11/1/15,11/30/15,-2769,5709.34,5709.34,closed
104Meadow,12/1/15,12/31/15,-2524,3185.18,3185.18,closed
104Meadow,1/1/16,1/31/16,2256,5440.94,5440.94,closed
104Meadow,2/1/16,2/29/16,95,5536.17,5536.17,closed
104Meadow,3/1/16,3/31/16,697,6233.63,6233.63,closed
104Meadow,4/1/16,4/30/16,-321,5912.7,5912.7,closed
104Meadow,6/1/16,6/30/16,3616,10332.64,10332.64,closed
104Meadow,7/1/16,7/31/16,-2728,7604.93,7604.93,closed
104Meadow,8/1/16,8/31/16,-297,7308.4,7308.4,closed
104Meadow,9/1/16,9/30/16,740,8048.63,8048.63,closed
104Meadow,10/1/16,10/31/16,-1174,6875.02,6875.02,closed
104Meadow,11/1/16,11/30/16,898,7773.41,7773.41,closed
104Meadow,12/1/16,12/31/16,-1387,6385.99,6385.99,closed
104Meadow,1/1/17,1/31/17,-597,5789.38,5789.38,closed
104Meadow,2/1/17,2/28/17,813,6602.32,6602.32,closed
104Meadow,3/1/17,3/31/17,2293,8895.71,8895.71,closed
104Meadow,4/1/17,4/30/17,-697,8199.1,8199.1,closed
104Meadow,5/1/17,5/31/17,2448,10647.49,10647.49,closed
104Meadow,6/1/17,6/30/17,712,11359.88,11359.88,closed
104Meadow,7/1/17,7/31/17,953,12313.27,12313.27,closed
104Meadow,9/1/17,9/30/17,68,11689.64,11689.64,closed
104Meadow,10/1/17,10/31/17,94,11784.03,11784.03,closed
104Meadow,11/1/17,11/30/17,-692,11092.42,11092.42,closed
104Meadow,12/1/17,12/31/17,-9376,1716.44,1716.44,closed
104Meadow,1/1/18,1/31/18,953,2669.83,2669.83,closed
104Meadow,2/1/18,2/28/18,2228,4898.22,4898.22,closed
104Meadow,4/1/18,4/30/18,794,5370.89,5370.89,closed
104Meadow,5/1/18,5/31/18,918,6289.28,6289.28,closed
104Meadow,6/1/18,6/30/18,483,6772.67,6772.67,closed
104Meadow,7/1/18,7/31/18,979,7751.29,7751.29,closed
104Meadow,8/1/18,8/31/18,819,8570.68,8570.68,closed
104Meadow,9/1/18,9/30/18,1023,9594.07,9594.07,closed
104Meadow,10/1/18,10/31/18,126,9720.42,9720.42,closed
104Meadow,11/1/18,11/30/18,-3977,5743.81,5743.81,closed
104Meadow,12/1/18,12/31/18,-3329,2414.76,2414.76,closed
104Meadow,1/1/19,1/31/19,1663,4077.97,4077.97,closed
104Meadow,2/1/19,2/28/19,721,4798.59,4798.59,closed
104Meadow,3/1/19,3/31/19,1003,5801.98,5801.98,closed
104Meadow,4/1/19,4/30/19,2173,7974.63,7974.63,closed
104Meadow,5/1/19,5/31/19,853,8828.02,8828.02,closed
104Meadow,6/1/19,6/30/19,923,9751.41,9751.41,closed
104Meadow,7/1/19,7/31/19,-572,9179.8,9179.8,closed
104Meadow,8/1/19,8/31/19,2418,11598.19,11598.19,closed
104Meadow,9/1/19,9/30/19,323,11921.58,11921.58,closed
104Meadow,10/1/19,10/31/19,1223,13144.97,13144.97,closed
104Meadow,11/1/19,11/30/19,923,14068.36,14068.36,closed
104Meadow,1/1/20,1/31/20,1420,7449.66,7449.66,closed
104Meadow,2/1/20,2/29/20,590,8039.46,8039.46,closed
104Meadow,3/1/20,3/31/20,690,8729.26,8729.26,closed
104Meadow,4/1/20,4/30/20,690,9419.06,9419.06,closed
104Meadow,5/1/20,5/31/20,-1130,8288.86,8288.86,closed
104Meadow,6/1/20,6/30/20,690,8978.66,8978.66,closed
104Meadow,7/1/20,7/31/20,795,9773.46,9773.46,closed
104Meadow,8/1/20,8/31/20,790,10563.26,10563.26,closed
104Meadow,9/1/20,9/30/20,3670,14232.88,14232.88,closed
104Meadow,10/1/20,10/31/20,-5710,8522.68,8522.68,closed
104Meadow,11/1/20,11/30/20,-558,7964.48,7964.48,closed
104Meadow,1/1/21,1/31/21,790,2598.8,2598.8,closed
104Meadow,2/1/21,2/28/21,790,3388.6,3388.6,closed
104Meadow,3/1/21,3/31/21,790,4178.4,4178.4,closed
104Meadow,4/1/21,4/30/21,790,4968.2,4968.2,closed
104Meadow,6/1/21,6/30/21,790,6552.8,6552.8,closed
104Meadow,7/1/21,7/31/21,790,7342.6,7342.6,closed
104Meadow,8/1/21,8/31/21,890,8232.4,8232.4,closed
104Meadow,9/1/21,9/30/21,890,9122.2,9122.2,closed
104Meadow,11/1/13,11/30/13,3631,4627.93,4627.93,closed
