ttype,description,transaction_group,transaction_type,vendor,customer,vendor_no_w9,customer_no_w9
credit,trulo,A01-Income,Exp-Mgmt,W9-TRULO,GeneralCustomer,W9-TRULO,PropertyManagement
debit,trulo,A01-Income,Exp-Mgmt,GeneralVendor,W9-TRULO,TRULORefund,W9-TRULO
credit,owner draw,D01-Owner,Owner-Draw,GeneralVendor,GeneralCustomer,GeneralVendor,OwnerDraw
debit,owner draw,D01-Owner,Owner-Draw,GeneralVendor,GeneralCustomer,OwnerDraw,GeneralCustomer
credit,funding,D01-Owner,Owner-Funding,GeneralVendor,GeneralCustomer,GeneralVendor,PartnershipFunding
debit,funding,D01-Owner,Owner-Funding,GeneralVendor,GeneralCustomer,Property,Partnership
credit,"mortgage,pennymac,newrez,orig co name:jpmorgan chase,jpmorgan chase chase ach,freedom mtg,servicemac,lument",A01-Income,Exp-Mortgage,GeneralVendor,GeneralCustomer,GeneralVendor,Mortgage
credit,"autopay, auto pay",A01-Income,Exp-Repair,GeneralVendor,GeneralCustomer,GeneralVendor,Autopay
credit,lowes,A01-Income,Exp-Repair,GeneralVendor,GeneralCustomer,GeneralVendor,Lowes
credit,"oneplus,everyday checking midway expense",A01-Income,Exp-Repair,W9-ONEPLUS,GeneralCustomer,W9-ONEPLUS,PropertyManagement
debit,oneplus,A01-Income,Rev-Rent,GeneralVendor,W9-ONEPLUS,Property,W9-ONEPLUS
debit,vrbo,A01-Income,Rev-Rent,GeneralVendor,GeneralCustomer,VRBORent,GeneralCustomer
credit,"maria,vaca",A01-Income,Exp-Cleaning,GeneralVendor,GeneralCustomer,GeneralVendor,MariaVaca
credit,"spectrum,internet,godaddy,google",A01-Income,Exp-Utilities,GeneralVendor,GeneralCustomer,GeneralVendor,Internet
debit,"spectrum,internet,godaddy,google",A01-Income,Exp-Utilities,GeneralVendor,GeneralCustomer,Internet,GeneralCustomer
credit,"energy,exelon",A01-Income,Exp-Utilities,GeneralVendor,GeneralCustomer,GeneralVendor,Energy
debit,"energy,exelon",A01-Income,Exp-Utilities,GeneralVendor,GeneralCustomer,Energy,GeneralCustomer
credit,"travelers,foremost",A01-Income,Exp-Insurance,GeneralVendor,GeneralCustomer,GeneralVendor,Insurance
debit,"travelers,foremost",A01-Income,Exp-Insurance,GeneralVendor,GeneralCustomer,Insurance,GeneralCustomer
credit,tax,A01-Income,Exp-Taxes,GeneralVendor,GeneralCustomer,GeneralVendor,TaxCounty
debit,tax,A01-Income,Exp-Taxes,GeneralVendor,GeneralCustomer,TaxCounty,GeneralCustomer
credit,"city of fort,city of arling,utility",A01-Income,Exp-Utilities,GeneralVendor,GeneralCustomer,GeneralVendor,CityServices
debit,"city of fort,city of arling,utility",A01-Income,Exp-Utilities,GeneralVendor,GeneralCustomer,CityServices,GeneralCustomer
credit,116 mv chk to sav,F01-BankTransfer,Transfer,GeneralVendor,GeneralCustomer,GeneralVendor,Checking
debit,116 mv chk to sav,F01-BankTransfer,Transfer,GeneralVendor,GeneralCustomer,Savings,GeneralCustomer
credit,willow creek,A01-Income,Exp-HOA,GeneralVendor,GeneralCustomer,GeneralVendor,HOA
debit,interest payment,A01-Income,Rev-Interest,GeneralVendor,GeneralCustomer,BankInterest,GeneralCustomer
credit,"monthly service fee,wire trans",A01-Income,Exp-ProfessionalServices,GeneralVendor,GeneralCustomer,GeneralVendor,Bank
credit,"…5909,xxx5909",A01-Income,Exp-Repair,6401Basswood,GeneralCustomer,6401Basswood,BasswoodTransfer
debit,"…5909,xxx5909",A01-Income,Exp-Repair,GeneralVendor,6401Basswood,BasswoodTransfer,6401Basswood
credit,"…5031,xxx5031",A01-Income,Exp-Repair,Common,GeneralCustomer,Common,CommonTransfer
debit,"…5031,xxx5031",A01-Income,Exp-Repair,GeneralVendor,Common,CommonTransfer,Common
credit,"…3314,xxx3314",B01-SecurityDeposit,Security-In,MeadowSecurity,GeneralCustomer,MeadowSecurity,SecurityDeposit
debit,"…3314,xxx3314",B01-SecurityDeposit,Security-In,GeneralVendor,MeadowSecurity,SecurityDeposit,MeadowSecurity
credit,"…6424,xxx6424",B01-SecurityDeposit,Security-In,TrustAccount,GeneralCustomer,TrustAccount,SecurityDeposit
debit,"…6424,xxx6424",B01-SecurityDeposit,Security-In,GeneralVendor,TrustAccount,SecurityDeposit,TrustAccount
credit,"…8228,xxx8228",A01-Income,Exp-Repair,1905Morning,GeneralCustomer,1905Morning,MorningTransfer
debit,"…8228,xxx8228",A01-Income,Exp-Repair,GeneralVendor,1905Morning,MorningTransfer,1905Morning
credit,"…3606,xxx3606",A01-Income,Exp-Repair,2417Garden,GeneralCustomer,2417Garden,GardenTransfer
debit,"…3606,xxx3606",A01-Income,Exp-Repair,GeneralVendor,2417Garden,GardenTransfer,2417Garden
credit,"…4356,xxx4356",A01-Income,Exp-Repair,108Pagoda,GeneralCustomer,108Pagoda,PagodaTransfer
