bank_account_key,tdate,description,amount
108Pagoda,2013-09-30,Made 4 payments through Neeraj to Pagoda LLC,16000
108Pagoda,2013-10-16,Made payment Pagoda LLC,10000
104Meadow,2013-10-17,Notarized Pagoda Homes closing documents and shipped overnite,-108
108Pagoda,2013-10-17,Made payment Pagoda LLC,8000
108Pagoda,2013-10-18,Closing 108 Pagoda,-29954.84
104Meadow,2013-10-19,"Earnest Money Meadow View, completed 01/27/14",-1200
108Pagoda,2013-10-26,AC Filter for Pagoda,-9.13
108Pagoda,2013-10-26,Air freshners Pagoda,-8.97
108Pagoda,2013-10-26,Vinegar for odor removal Pagoda,-1.97
108Pagoda,2013-10-27,Pet Odor Removal Solution Pagoda,-26.51
104Meadow,2013-10-28,Funding Meadow View Homes,10000
104Meadow,2013-10-28,Funding Meadow View Homes,13000
104Meadow,2013-10-29,Funding Meadow View Homes,3000
108Pagoda,2013-10-29,Water Service Deposit Pagoda,-150
108Pagoda,2013-10-30,Application Processing Fee,-25
108Pagoda,2013-11-01,Application Processing Fee,-25
108Pagoda,2013-11-08,Rental listing and paperwork fee,-392
108Pagoda,2013-11-08,Pet fee+ Rent for November (this not actual transaction but shown split  as per the receipt (1120+880) given to the tenant),880
108Pagoda,2013-11-08,Security Deposit advance,1120
108Pagoda,2013-11-12,Merchandise Return ,26.51
104Meadow,2013-11-14,Appraisal for Meadow View,-585
104Meadow,2013-11-14,Meadow View LLC registration,-308.1
108Pagoda,2013-11-14,Pagoda Homess LLC registration,-308.1
108Pagoda,2013-11-14,Application Processing Fee,-14.8
108Pagoda,2013-11-14,Application Fee,25
108Pagoda,2013-11-14,Reimbursement for cleaning,260
108Pagoda,2013-11-15,Compensation for leasing,-392
108Pagoda,2013-11-15,Application Fee,25
108Pagoda,2013-11-16,Application Fee,25
104Meadow,2013-11-17,Mowing Meadow View,-30
104Meadow,2013-11-17,Funding Meadow View Homes,2000
108Pagoda,2013-11-17,Funding Pagoda Homes,2000
104Meadow,2013-11-18,Realotor.com linsting Meadow View,-199.95
104Meadow,2013-11-18,Garage door opener Meadow View,-119.29
104Meadow,2013-11-18,Garage door opener Installation Meadow,-65
104Meadow,2013-11-18,Funding Meadow View Homes,2000
108Pagoda,2013-11-18,Title fee for Pagoda Homes,-1200
108Pagoda,2013-11-18,Mortgage payment due 12/01 Pagoda,-467.03
108Pagoda,2013-11-18,Yard and Garage cleanup Pagoda,-160
108Pagoda,2013-11-18,Garage door opener Pagoda,-119.29
108Pagoda,2013-11-18,Detailed Home cleaning inside Pagoda,-100
108Pagoda,2013-11-18,Locks Pagoda,-71.22
108Pagoda,2013-11-18,Garage door opener Installation Pagoda,-65
108Pagoda,2013-11-18,Option fee - Pagoda,-50
108Pagoda,2013-11-18,One year subscription Pagoda,-39.95
108Pagoda,2013-11-18,Reimbusement to NeerajFOR RENT sign and lables 1018,-28.34
108Pagoda,2013-11-18,reimburement to Neeraj for ELE BALLAST 1106,-16.42
104Meadow,2013-11-19,checks printing Meadow View,-29.22
108Pagoda,2013-11-19,Appraisal for Pagoda,-595
104Meadow,2013-11-22,Mowing Meadow View,-30
108Pagoda,2013-11-22,Electiricy bill,-41.28
108Pagoda,2013-11-25,Rent,565
104Meadow,2013-11-26,Mortgage payment due 12/01 Meadow View,-496.61
104Meadow,2013-11-29,Bank Fee Meadow View,-6
104Meadow,2013-11-29,Security Deposit,1500
108Pagoda,2013-12-04,Rent,1000
108Pagoda,2013-12-05,Rent,140
104Meadow,2013-12-09,Bank Fee Meadow View,-3
108Pagoda,2013-12-09,Water Bill,-65.62
108Pagoda,2013-12-09,wells fargo fee Pagoda ,-3
108Pagoda,2013-12-14,downspout (CC),-35.51
108Pagoda,2013-12-15,Electiricy bill,-13.73
108Pagoda,2013-12-23,Irrigation Install,-2426.4
108Pagoda,2013-12-23,HOA Dues 2014,-180
104Meadow,2013-12-24,Holiday gift(combined recipt) Pagoda (posted on MV in error),-28.03
104Meadow,2013-12-30,Irrigation Install,-2426.4
104Meadow,2013-12-30,Painting in Kitchen and bathroom Meadow View,-135
104Meadow,2013-12-30,Roof Repair Meadow View,-80
104Meadow,2013-12-30,water bill meadow view,-61.36
104Meadow,2013-12-30,Painting Accessories for painting  Meadow View,-31.79
104Meadow,2013-12-30,Locks Meadow View,-20.57
104Meadow,2013-12-30,Primer for painting  Meadow View,-17.46
108Pagoda,2013-12-30,Locks Pagoda,-43.19
108Pagoda,2013-12-30,T-12 bulb Pagoda,-9.21
104Meadow,2013-12-31,monthly service fee reversal meadow view,6
108Pagoda,2013-09-17,Gas Pagoda,-9.17
104Meadow,2013-10-30,Closing 104 Meadow View,-23695.28
108Pagoda,2014-01-26,CC-Expense BUSINESS CARDS,-10
108Pagoda,2014-03-13,CC-EXPENSE ,-28.13
108Pagoda,2014-03-24,General Office Expenses,-8.66
108Pagoda,2014-04-17,certified mail to Hammer,-6.49
108Meadow,2014-07-16,LAPTOP ADJ,-627.84
108Meadow,2014-07-18,MS OFFICE ADJ -ONLINE RCPT,-10.77
108Meadow,2014-07-29,"CC PMT, ADJ",-14.48
108Meadow,2014-09-20,credit monitoring adj,-16.18
108Pagoda,2014-09-20,CC credit monitoring adj,-16.18
108Pagoda,2014-09-20,CC credit monitoring adj,-15.11
108Pagoda,2014-09-29, 108 PAG TO EXP JAVIER 0929 adj,-180
108Pagoda,2014-10-08,"CHECK # 1009, adj",-250
108Pagoda,2014-10-21,"MYFICO.COM 800-319-4433 CA, adj",-10.77
108Pagoda,2014-11-06,"PAYPAL *ONLINEPDFS 402-935-7733 CA, adj",-10
108Pagoda,2014-11-08,"THE OLIVE GARD00015453, Adj",-58.37
108Pagoda,2014-11-08,"TU SMARTMOVE 866-775-0961 , Adj",-35
108Pagoda,2014-11-20,REWARDS ANNUAL MEMBERSHIP FEE,-50
108Pagoda,2014-11-20,"MYFICO.COM 800-319-4433 CA, adj",-10.77
108Pagoda,2014-12-20,"MYFICO.COM 800-319-4433 CA, adj",-10.77
104Meadow,2014-12-31,Misc Expenses,-7.88
108Meadow,2014-12-31,Reconciliation Adjustment,-22.88
116Meadow,2014-12-31,Reconciliation Adjustment,-45.04
104Meadow,2014-11-14,"AMERICAN MODERN EFT TRANS 141112 077 0047829793 GUPTA, NEERAJ",-653
108Pagoda,2014-01-02,Mortgage payment due 01/01 Pagoda,-467.03
104Meadow,2014-01-15,check 1003,-496.61
108Pagoda,2014-02-01,Mortgage payment due 02/01 Pagoda,-467.03
104Meadow,2014-02-04,autopay,-496.61
104Meadow,2014-03-03,autopay,-496.61
108Pagoda,2014-03-04,mortgage ,-467.03
108Pagoda,2014-04-02,mortgage ,-467.03
104Meadow,2014-04-03,autopay,-496.61
108Pagoda,2014-05-01,mortgage ,-467.03
104Meadow,2014-05-02,autopay,-496.61
104Meadow,2014-06-02,autopay,-496.61
108Pagoda,2014-06-02,mortgage ,-467.03
108Pagoda,2014-07-01,ROUNDPOINT LOAN PMT 140630 1001382553 PAGODAHOMES LLC,-467.03
104Meadow,2014-07-03,autopay,-496.61
108Meadow,2014-07-23,mortgage pmt,-496.61
116Meadow,2014-07-25,Mortgage payment,-500.78
108Pagoda,2014-08-01,ROUNDPOINT LOAN PMT 140731 1001382553 PAGODAHOMES LLC,-467.03
104Meadow,2014-08-04,autopay,-496.61
